rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
1,2.4236999527708885,True,1200.0,100.0,80.0,6.0,0.16530718263338992,0.0372930861196719,0.014191149679815992,0.010515078537386459,0.03593584106817451,1.0037542563683306,1.8306108561035113,6.9367369589345175e-06,0.0005017859431694796
2,2.4466047617155335,True,1200.0,50.0,80.0,6.0,0.1651755057549637,0.03802780793788832,0.014162985766023066,0.010767147278554046,0.03603722217499308,1.003979653435676,1.822602171112536,1.5852571481045788e-05,0.0005109271424566035
3,2.475683917542275,True,1200.0,100.0,80.0,10.0,0.16639691728161943,0.038156907380248795,0.014136905056507972,0.010533168323019213,0.041539794222433674,1.003198970534633,2.163612765931456,6.9367369589345175e-06,0.0005026738039212145
4,2.479650232928865,True,1200.0,100.0,65.0,3.0,0.17766181256311253,0.03821445638338718,0.014290703228103968,0.010514126055819492,0.03790923306556846,0.9713754829236464,2.4668301783451323,0.0,0.0004982194045222502
5,2.500136708787586,True,1200.0,50.0,80.0,10.0,0.16626899429140501,0.03879493671851712,0.014122142158244706,0.01079160113530318,0.04171912185555332,1.00514793846847,2.1720020355509364,1.5852571481045788e-05,0.0005120624618372347
6,2.5022294865271903,True,1200.0,50.0,65.0,3.0,0.17758432018826636,0.03898764559136729,0.014255798769722678,0.010764671979827785,0.03798663487288946,0.9725238744902742,2.4169623128968354,0.0,0.0005072118618960214
7,2.50421774583384,True,1200.0,100.0,65.0,5.0,0.17816642191819093,0.03874560855781182,0.0142586071706306,0.010507281032224093,0.041205960446517156,0.9202170517199951,1.6819691512231805,0.0,0.000498809369113554
8,2.5072732509565863,True,1050.0,60.0,80.0,6.0,0.16586212719026294,0.03763060246943062,0.013753174461237878,0.011691854633445888,0.035981766645907576,1.00296596116975,1.8273321333111787,6.9367369589345175e-06,0.0004944406112288507
9,2.527166961494039,True,1200.0,50.0,65.0,5.0,0.17805574301849675,0.0394407266374692,0.014233780610049186,0.010760582574193283,0.041308297815704643,0.9199790917795951,1.6790590013161644,0.0,0.000507951359411999
10,2.5475775750564966,True,1200.0,100.0,65.0,8.0,0.17893201189330826,0.03946993754848522,0.014207826933103993,0.010522162006933636,0.04590493176603006,0.9249094509699975,2.0351028075415045,0.0,0.0004998458817623894
