rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
1,2.152899981654523,True,1800.0,180.0,120.0,8.0,0.1450176526691535,0.034952198737859194,0.015180214860203076,0.008197499266172512,0.0281757693930343,1.1349499317521687,2.171081958672075,0.000234572953456451,0.0005187858037039597
2,2.1881014999817805,True,1800.0,180.0,100.0,6.0,0.1525786738378085,0.035669508722615366,0.015225808029593344,0.008190052360792496,0.029858435310756166,1.0893032392234459,2.267327328722317,0.00021318206903414013,0.0005187803319572191
3,2.194777169283045,True,1800.0,180.0,120.0,12.0,0.14593623792324717,0.0356444423249626,0.015145582675147793,0.008208030958364605,0.03274127964960507,1.1265254273685001,2.0517933535876156,0.00024546788554173903,0.0005188065348405214
4,2.202675953388183,True,1500.0,120.0,120.0,8.0,0.1453222213004508,0.035167077440245026,0.014644936819892516,0.009047248568657256,0.028164598573556056,1.1330785433170205,2.1606651600753617,0.00013829617747916165,0.0005180941151181001
5,2.2030532873199293,True,1500.0,80.0,120.0,8.0,0.14513448372363696,0.035641450354518475,0.014507583397333285,0.009090666820748657,0.02823168259323358,1.134024832914363,2.1452644653915613,0.0001953503999899176,0.0005177788890979182
6,2.2115455821271532,True,1800.0,180.0,100.0,8.0,0.1529951798350076,0.03607878023719826,0.015205258787604654,0.00819258570752023,0.0325490283561491,1.07758754610094,1.8907702915382405,0.0002187203819754052,0.0005187973620170347
7,2.212996650712248,True,1800.0,180.0,90.0,5.0,0.15757886113474953,0.03614924040990898,0.015256893744141195,0.008186775867246159,0.031144310003099293,1.060350491646561,2.351411580010346,0.00018683354521607147,0.0005187771739048703
8,2.2314275153093828,True,1500.0,180.0,120.0,8.0,0.1455602641092543,0.034680774720790286,0.014944069703210177,0.009269967475253191,0.028102465023285325,1.134648092571136,2.1805501017639766,9.371700486860529e-05,0.000518554695386537
9,2.2350320287631362,True,1800.0,180.0,100.0,10.0,0.15350221348179577,0.03646384913323087,0.01518404468994476,0.0081991349717588,0.03506710671827319,1.0773939054275297,1.9828216307673496,0.00022763621649751648,0.0005188089653293839
10,2.2353307253420307,True,1800.0,180.0,120.0,16.0,0.14730938052490777,0.03627925904779471,0.015108614757003591,0.008223734617946801,0.0366932446929342,1.1391753770980955,2.4483892694258733,0.0003151788517499367,0.0005188581889826283
11,2.237624068030969,True,1800.0,180.0,90.0,7.0,0.15803335971415977,0.03658781189534227,0.015233454963105469,0.008187690188395377,0.03401358854695141,1.0461622709796718,1.8611911313434732,0.00018683354521607147,0.0005187960307180981
12,2.238025237471227,True,1500.0,120.0,100.0,6.0,0.1528941897301821,0.03588166043161818,0.014691312380399314,0.009040709701447547,0.029842808104372585,1.0863663400162855,2.2497328318195247,0.00013135944052022712,0.00051807299227813
13,2.2381872821964524,True,1500.0,80.0,100.0,6.0,0.15272045725028316,0.03636289523885727,0.01455460670076739,0.009083643865183103,0.029898953001695327,1.0867385986396145,2.228364368543006,0.00017593861313078347,0.0005177707595858369
14,2.244120492504472,True,1500.0,120.0,120.0,12.0,0.14621200451205774,0.03584670788494187,0.01460887357685753,0.009057420726747947,0.032748432581552855,1.1208111421687112,2.0479141880363994,0.00014383449042042673,0.0005181425283531349
15,2.244998060391008,True,1500.0,80.0,120.0,12.0,0.1460266826021528,0.03628530170526484,0.01447810016139961,0.009102415700627576,0.03286287045662236,1.1208975836604873,2.049837504823352,0.00019039276059415981,0.0005178126436085416
16,2.2460175561959748,True,1350.0,100.0,120.0,8.0,0.1456130956384316,0.03521064659326499,0.014354171059733307,0.00969870502859895,0.02815721815676482,1.1324511233438321,2.15788304391032,0.0001204645084349391,0.0005177165446868637
17,2.247356267777746,True,1800.0,180.0,80.0,4.0,0.16376809491112593,0.03674576915370525,0.015295606262022855,0.008185485645707664,0.032934195875367125,1.0413919716475157,2.476040972325267,0.0001779177106939602,0.00051877315882053
18,2.2598661381791256,True,1350.0,140.0,120.0,8.0,0.14576747392130818,0.03481409254004923,0.014571596349268185,0.009782951535677199,0.028120998674926286,1.1327738028417365,2.1718295649283768,4.9137832258048936e-05,0.0005142152828536391
